campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
10,2016-07-06,2016-09-20,68,19,4,183.47123520592365,0.6432126010043068,183.2724744356862,-0.5427878885479327,184.3763819953119,-0.7273568239734811,184.5746630331593,0.45929561587911916
10,2016-07-06,2016-09-20,69,20,1,185.89993025557615,0.7253594173909189,184.7131854621077,0.9218519566573197,184.8962315159096,2.026140740125222,186.0839528217049,1.828958377434857
10,2016-07-06,2016-09-20,70,20,2,183.51439072604353,1.1204816101828297,184.70118555472433,0.9238398420926001,184.88423147600207,2.0281287499629514,183.6962257276324,2.2244511463106105
10,2016-07-06,2016-09-20,71,20,3,183.89514898960465,3.4245223713926527,185.08372264624745,3.2280272065826905,184.89975562811316,2.1238718758872706,183.711780422559,2.32084976395261
10,2016-07-06,2016-09-20,72,20,4,186.28371228627634,3.027451110393688,185.09573277839723,3.2260323262525565,184.91175542765316,2.1218781212410844,186.09941578070848,1.923940642683426
10,2016-07-06,2016-09-20,73,22,1,182.0043873841398,-4.890549281745729,181.80037506278157,-6.075885777251009,180.69146458727053,-5.885276722315093,180.8982291524385,-4.699847599268221
10,2016-07-06,2016-09-20,74,22,2,181.59273565199427,-7.273010257982641,181.7983033871788,-6.087860068361808,180.6893740340469,-5.897253468498084,180.4816998077098,-7.082598352845243
10,2016-07-06,2016-09-20,75,22,3,179.27797355791003,-6.872749337311374,179.4879085551683,-5.688315116988362,180.59600720297,-5.881498789087561,180.38794270177212,-7.066804672171011
10,2016-07-06,2016-09-20,76,22,4,179.69966405504732,-4.491930393881075,179.49003011186156,-5.676343632625546,180.59810632441256,-5.8695177449525575,180.8053061391072,-4.684134919399631
10,2016-07-06,2016-09-20,77,23,1,182.4824423098866,-2.083328744187836,182.28111504337943,-3.2690897493440065,181.17608176582124,-3.0809803733200667,181.37901317738888,-1.8949684966228113
10,2016-07-06,2016-09-20,78,23,2,182.07670483470415,-4.466695545303959,182.27907844984384,-3.281070881661972,181.17403172921723,-3.0929649691283356,180.97061318875217,-4.278927553111555
10,2016-07-06,2016-09-20,79,23,3,179.76911655758465,-4.071538396626982,179.97399655740674,-2.8863754467861806,181.07852270532044,-3.076310494540439,180.87440006567596,-4.262157664050152
10,2016-07-06,2016-09-20,80,23,4,180.1811168043502,-1.689309568574149,179.9760695495261,-2.8744006712434373,181.08058503826987,-3.064328008147881,181.28426813329813,-1.878450953503519
10,2016-07-06,2016-09-20,81,24,1,182.9587012144295,0.7240667230716831,182.75949122383955,-0.46202561414671556,181.65569907240598,-0.27627824286511393,181.85544239735663,0.9102713398968215
10,2016-07-06,2016-09-20,82,24,2,182.55760769733533,-1.6599996256050045,182.75747950279535,-0.474013900005859,181.6536848748191,-0.2882719079700471,181.45387790598173,-1.474819746851862
10,2016-07-06,2016-09-20,83,24,3,180.2543089828835,-1.2715991580320303,180.45417442329375,-0.08555563026797104,181.55795078831989,-0.2718177030057595,181.35772566777757,-1.4583874381625792
10,2016-07-06,2016-09-20,84,24,4,180.65671793292307,1.1123639413872206,180.4561940873259,-0.07356867870087967,181.55997633085596,-0.2598259210493121,181.76018949053528,0.9267427745277389
11,2016-09-24,2016-12-08,1,2,1,266.18533069418396,-27.102840836713437,265.90359763420076,-25.926977124838057,267.11834567735457,-25.688816651334538,267.4114084264288,-26.86293368446415
